,facility_name,facility_type,street,region,district,city,barangay,service_capability,bed_capacity,coordinates
93,"OUR LADY OF GRACE HOSPITAL, INC.",Hospital,"8TH AVENUE, CORNER F. ROXAS STREET GRACE PARK",NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF CALOOCAN,BARANGAY 61,Level 1,28,"(120.981362974546, 14.6489745673657)"
94,OUR LADY OF LOURDES HOSPITAL,Hospital,"46 P. SANCHEZ STREET, SANTA MESA",NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SAMPALOC,BARANGAY 606,Level 3,230,"(121.0230978, 14.5947342)"
95,"PACIFIC GLOBAL MEDICAL CENTER, INC.",Hospital,"LOT 2B, MINDANAO AVENUE",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,TALIPAPA,Level 2,100,"(121.029888938137, 14.6885468997756)"
96,PAMPLONA HOSPITAL AND MEDICAL CENTER INC.,Hospital,46 ZAPOTE-ALABANG ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,PAMPLONA UNO,Level 2,101,"(120.968918282027, 14.4632801242891)"
97,PASAY CITY GENERAL HOSPITAL,Hospital,P. BURGOS STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PASAY CITY,BARANGAY 60,Level 3,150,"(121.0010011, 14.5493199)"
98,PASIG CITY CHILDREN'S HOSPITAL CHILD'S HOPE,Hospital,INDUSTRIA STREET CORNER ALCALDE JOSE STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,KAPASIGAN,Level 2,64,"(121.074441464864, 14.5620455712318)"
99,PASIG CITY GENERAL HOSPITAL,Hospital,M. EUSEBIO AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,MAYBUNGA,Level 3,200,"(121.0992413, 14.5724406)"
100,"PASIG DOCTORS MEDICAL CENTER, INC.",Hospital,254 AMANG RODRIGUEZ AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,MANGGAHAN,Level 2,80,"(121.092096322891, 14.6007211995989)"
101,"PERPETUAL SUCCOR HOSPITAL &amp; MATERNITY, INC.",Hospital,836 FLORENTINO CAYCO STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SAMPALOC,BARANGAY 457,Level 1,65,"(120.992422251313, 14.608178651945)"
102,PHILIPPINE CHILDREN'S MEDICAL CENTER,Hospital,QUEZON AVENUE CORNER AGHAM ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,BAGONG PAG-ASA,Level 3,200,"(121.0414017, 14.6476275)"
103,PHILIPPINE HEART CENTER,Hospital,"EAST AVENUE, DILIMAN",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,CENTRAL,Level 3,454,"(121.0484295, 14.6440422)"
104,PHILIPPINE ORTHOPEDIC CENTER,Hospital,MA. CLARA STREET CORNER BANAWE STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,SANTA TERESITA,Level 3,700,"(121.003385720018, 14.6281385102901)"
105,PNP GENERAL HOSPITAL,Hospital,"EDSA, CAMP CRAME",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,BAGONG LIPUNAN NG CRAME,Level 2,176,"(121.0524387, 14.6097492)"
106,POPE JOHN PAUL II HOSPITAL AND MEDICAL CENTER INC.,Hospital,545 E ALABANG ZAPOTE ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,TALON UNO,Level 2,100,"(120.996315055509, 14.4432458870635)"
107,"PROVIDENCE HOSPITAL, INC.",Hospital,"1515 WEST TRIANGLE, QUEZON AVENUE",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,WEST TRIANGLE,Level 2,75,"(121.03177798451, 14.6411897363066)"
108,QUEZON CITY GENERAL HOSPITAL,Hospital,"SEMINARY ROAD, EDSA",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,BAHAY TORO,Level 3,250,"(121.0178312, 14.6619494)"
109,QUIRINO MEMORIAL MEDICAL CENTER,Hospital,"J. P. RIZAL CORNER P. TUAZON STREET, PROJECT 4, KATIPUNAN",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,MARILAG,Level 3,460,"(121.0722382, 14.6222125)"
110,"RECUENCO GENERAL HOSPITAL, INC.",Hospital,68 SAMPALOC EXTENSION,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF TAGUIG,NORTH SIGNAL VILLAGE,Level 1,12,"(121.059680374175, 14.5133755911084)"
111,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,Hospital,FILINVEST CORPORATE CITY,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MUNTINLUPA,ALABANG,Level 3,50,"(121.0371435, 14.4100069)"
112,RIZAL MEDICAL CENTER,Hospital,PASIG BOULEVARD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,BAGONG ILOG,Level 3,300,"(121.0661287, 14.5639125)"
113,ROSARIO MACLANG BAUTISTA GENERAL HOSPITAL,Hospital,IBF ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,BATASAN HILLS,Level 2,107,"(121.0891038, 14.686097)"
114,"SALVE REGINA GENERAL HOSPITAL, INC.",Hospital,LOT A 2A MARCOS HIGHWAY,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,DELA PAZ,Level 1,50,"(121.09633705235, 14.6199906862255)"
115,SAN JUAN DE DIOS EDUCATIONAL FOUNDATION INC.,Hospital,2772 ROXAS BOULEVARD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",PASAY CITY,BARANGAY 76,Level 3,230,"(120.993038257004, 14.5379073379862)"
116,SAN JUAN MEDICAL CENTER,Hospital,N.DOMINGO STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF SAN JUAN,BALONG-BATO,Level 1,150,"(121.0234971, 14.6065287)"
117,SAN LAZARO HOSPITAL,Hospital,QUIRICADA STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SANTA CRUZ,BARANGAY 331,Level 3,500,"(120.9807102, 14.613777)"
118,"SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.",Hospital,QUIRINO HIGHWAY,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,PASONG PUTIK PROPER,Level 1,18,"(120.956352988536, 14.6942472854335)"
119,SAN LORENZO RUIZ GENERAL HOSPITAL,Hospital,25 O. REYES STREET,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF MALABON,SANTOLAN,Level 1,10,"(120.9564064, 14.6942908)"
120,"SDS MEDICAL CENTER, INC.",Hospital,KATIPUNAN COR. PIO DEL PILAR,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA,CONCEPCION DOS,Level 1,22,"(121.109967964476, 14.6394432420779)"
121,SEAMEN'S HOSPITAL,Hospital,CABILDO STREET CORNER SAN JOSE STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",INTRAMUROS,BARANGAY 657,Level 3,100,"(120.9776456, 14.5874809)"
122,SOUTH SUPERHIGHWAY MEDICAL CENTER,Hospital,"KM. 17, WEST SERVICE ROAD, SOUTH SUPER HIGHWAY",NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF PARA?AQUE,MARCELO GREEN VILLAGE,Level 2,50,"(121.0448017, 14.4749717)"
123,"ST. ANTHONY MEDICAL CENTER OF MARIKINA, INC.",Hospital,32 SANTA ANA EXTENSION COR. BETELNUT STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA,SAN ROQUE,Level 2,34,"(121.102841435389, 14.6244836077834)"
124,ST. CAMILLUS MEDICAL CENTER,Hospital,116 E. AMANG RODRIGUEZ AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,SANTOLAN,Level 2,40,"(121.0917525, 14.6121998)"
125,"ST. CHRISTIANA HOSPITAL, INC.",Hospital,"3338 KAGINHAWAAN ROAD, KARANGALAN VILLAGE",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,MANGGAHAN,Level 1,10,"(121.102861206677, 14.6039160558532)"
126,"ST. CLARE'S MEDICAL CENTER, INC.",Hospital,1838 DIAN STREET,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF MAKATI,PALANAN,Level 2,75,"(121.00130544175, 14.5629953242396)"
127,ST. JUDE GENERAL HOSPITAL AND MEDICAL CENTER,Hospital,DIMASALANG CORNER DON QUIJOTE STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SAMPALOC,BARANGAY 497,Level 3,50,"(120.989029083823, 14.615782633487)"
128,ST. LUKE'S MEDICAL CENTER,Hospital,279 E. RODRIGUEZ SR. BOULEVARD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,KALUSUGAN,Level 3,633,"(121.0232112, 14.622982)"
129,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,Hospital,"BLOCK 16 LOT 18, CRESCENT PARK, RIZAL DRIVE, CORNER 32ND STREET BONIFACIO GLOBAL CITY",NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF TAGUIG,FORT BONIFACIO,Level 3,528,"(121.0481381, 14.5551409)"
130,ST. MARTIN DE PORRES CHARITY HOSPITAL,Hospital,70 A. BONIFACIO STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF SAN JUAN,KABAYANAN,Level 1,18,"(121.0315605, 14.5989283)"
131,ST. VICTORIA HOSPITAL,Hospital,444 J.P. RIZAL STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA,SANTO NI?O,Level 1,55,"(121.0946173, 14.6421958)"
132,STA. ANA HOSPITAL,Hospital,NEW PANADEROS STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SANTA ANA,BARANGAY 886,Level 2,300,"(121.016357208781, 14.5836981897805)"
133,TAGUIG-PATEROS DISTRICT HOSPITAL,Hospital,EAST SERVICE ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF TAGUIG,WESTERN BICUTAN,Level 1,110,"(121.0342798, 14.5107427)"
134,THE MEDICAL CITY,Hospital,ORTIGAS AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,UGONG,Level 3,522,"(121.034417, 14.6348799)"
135,THE PREMIER MEDICAL CENTER,Hospital,"LOT 2, AMVEL BUSINESS PARK, DR. A. SANTOS AVENUE, SUCAT ROAD",NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF PARA?AQUE,SAN DIONISIO,Level 2,50,"(120.9930099, 14.4886384)"
136,TONDO MEDICAL CENTER,Hospital,HONORIO LOPEZ BOULEVARD,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",TONDO I/II,BARANGAY 126,Level 3,200,"(120.9630579, 14.6350757)"
137,"TRICITY MEDICAL CENTER, INC.",Hospital,269 C. RAYMUNDO AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG,MAYBUNGA,Level 2,100,"(121.08513265341, 14.5759416333265)"
138,"TRINITY WOMAN AND CHILD CENTER ""THE BIRTHPLACE""",Hospital,2732 NEW PANADEROS STREET,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SANTA ANA,BARANGAY 888,Level 1,18,"(121.017495512764, 14.5844046361761)"
139,"UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC.",Hospital,175 DOÑA SOLEDAD AVENUE BETTER LIVING SUBDIVISION,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF PARA?AQUE,DON BOSCO,Level 2,94,"(121.028418569938, 14.4859142038939)"
140,"UNIHEALTH PARAÑAQUE HOSPITAL AND MEDICAL CENTER, INC.",Hospital,"DR. A. SANTOS AVENUE, VALLEY 1",NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF PARA?AQUE,SAN ANTONIO,Level 2,100,"(121.0196198668, 14.4645616932694)"
141,UNITED DOCTORS MEDICAL CENTER,Hospital,290 ESPANA CORNER 6TH N. RAMIREZ STREET,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,DON MANUEL,Level 3,100,"(121.0018723, 14.6171582)"
142,"UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER, INC.",Hospital,ALABANG-ZAPOTE RD,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",CITY OF LAS PI?AS,PAMPLONA UNO,Level 3,215,"(121.013518765842, 14.4325087109167)"
143,UNIVERSITY OF SANTO TOMAS HOSPITAL,Hospital,ESPAÑA BOULEVARD,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",SAMPALOC,BARANGAY 470,Level 3,700,"(120.990195, 14.6112963)"
144,University of the East Ramon Magsaysay Memorial Hospital,Hospital,"AURORA BOULEVARD, DONA IMELDA",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,DO?A IMELDA,Level 3,307,"(121.018644374591, 14.604100912225)"
145,UP-PHILIPPINE GENERAL HOSPITAL,Hospital,TAFT AVENUE,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)",ERMITA,BARANGAY 670,Level 3,"1,334","(120.985618028432, 14.577739638205)"
146,"UROLOGY CENTER OF THE PHILIPPINES, INC.",Hospital,"NO. 62 MAGINOO STREET, DILIMAN",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,CENTRAL,Level 1,16,"(120.982787983607, 14.5821570568338)"
147,"VALENZUELA CITICARE MEDICAL CENTER TIMOG HILAGA PROVIDENCE GROUP, INC.",Hospital,KM 14 MACARTHUR HIGHWAY,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF VALENZUELA,MALINTA,Level 2,40,"(120.963183689956, 14.695671850419)"
148,VALENZUELA MEDICAL CENTER,Hospital,PADRIGAL STREET,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",CITY OF VALENZUELA,KARUHATAN,Level 3,150,"(120.9778414, 14.6899682)"
149,VETERANS MEMORIAL MEDICAL CENTER,Hospital,"NORTH AVENUE, DILIMAN",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,BAGONG PAG-ASA,Level 3,766,"(121.0397843, 14.6563539)"
150,VICTORIANO LUNA MEDICAL CENTER,Hospital,V. LUNA ROAD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,PINYAHAN,Level 3,"1,200","(121.0525123, 14.6348313)"
151,"VILLAROSA HOSPITAL, INC.",Hospital,11 SALALILLA STREET PROJ 4,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,MILAGROSA,Level 1,10,"(121.06619992438, 14.6219567107844)"
152,"VILLON-TANSINSIN HOSPITAL, INC.",Hospital,"3 TOYOTA AVENUE, CORNER GUERILLA STREET STO. NINO",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA,SANTO NI?O,Level 1,20,"(121.099474700513, 14.637278336657)"
153,"WORD OF HOPE GENERAL HOSPITAL FOUNDATION, INC.",Hospital,"23 BUENAMAR STREET, BUENAMAR SUBDIVISION",NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,NOVALICHES PROPER,Level 1,30,"(121.039019179688, 14.7192950260757)"
154,WORLD CITI MEDICAL CENTER,Hospital,960 AURORA BOULEVARD,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY,BAGUMBUHAY,Level 3,276,"(121.0633176, 14.6269592)"
