"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Name 1","Old Health Facility Name 2","Old Health Facility Name 3","Facility Major Type","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Service Capability","Bed Capacity","Licensing Status","License Validity Date"
"DOH000000000000572","572","HOSPITAL OF THE INFANT JESUS MEDICAL CENTER","CHILD CARE, INC.","","","Health Facility","Hospital","Private","","","1556 LAON-LAAN ROAD","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","SAMPALOC","1380606000","BARANGAY 490","1380606096","1008","+63 027312771","+63 023054344","+63 023054350","admin@hijmc.com","hij_recordssections652@yahoo.com","","Level 3","140","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000007081","7081","J.P. SIOSON GENERAL HOSPITAL AND COLLEGES, INC","","","","Health Facility","Hospital","Private","","","75 BUKIDNON STREET, BAGO BANTAY","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","137400000","QUEZON CITY","138130000","RAMON MAGSAYSAY","1381300089","","+63 029275643","+63 029271300","+63 024554281","mis.jpsioson@gmail.com","jpshr.1971@gmail.com","","Level 1","18","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000000586","586","JOSE R. REYES MEMORIAL MEDICAL CENTER","","","","Health Facility","Hospital","Government","Department Of Health","","SAN LAZARO COMPOUND, RIZAL AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","SANTA CRUZ","1380605000","BARANGAY 331","1380605033","1003","+63 027119491","+63 027119498","+63 027321077","josereyesmedical@yahoo.com","jrrmmc_ccs@yahoo.com.ph","","Level 3","450","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000022594","22594","JUSTICE JOSE ABAD SANTOS GENERAL HOSPITAL","JUSTICE JOSE ABAD SANTOS MOTHER AND CHILD HOSPITAL","","","Health Facility","Hospital","Government","Local Government Unit","","NUMANCIA STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","BINONDO","1380602000","BARANGAY 292","1380602006","","+63 0282542453","+63 0253101984","","justicejasgen.official@yahoo.com","","","Level 1","150","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000005710","5710","LAS PIÑAS CITY MEDICAL CENTER","","","","Health Facility","Hospital","Private","","","1314 MARCOS ALVAREZ AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF LAS PI?AS","1380200000","TALON SINGKO","1380200020","","+63 0288005695","+63 0288005678","+63 0288005678","lpcmc01@yahoo.com","","","Level 2","66","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000000614","614","LAS PIÑAS DOCTORS HOSPITAL, INC.","","","","Health Facility","Hospital","Private","","","8009 J.I. AGUILAR AVENUE, CAA ROAD","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF LAS PI?AS","1380200000","PULANG LUPA DOS","1380200016","","+63 028297715","+63 026369414","+63 028297715","lpdhinc@yahoo.com","jilianchan74@yahoo.com","","Level 3","130","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000000615","615","LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER","LAS PINAS INTEGRATED DISTRICT HOSPITAL","","","Health Facility","Hospital","Government","Department Of Health","","BERNABE COMPOUND","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF LAS PI?AS","1380200000","PULANG LUPA UNO","1380200007","","+63 0288720509","+63 0288730556","+63 028730557","lpghstc@gmail.com","","","Level 3","200","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000006028","6028","LUNG CENTER OF THE PHILIPPINES","","","","Health Facility","Hospital","Government","Department Of Health","","QUEZON AVENUE EXTENSION","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","QUEZON CITY","1381300000","CENTRAL","1381300020","","+63 029246101","+63 029246111","+63 029246101","lcpdirector01@gmail.com","","","Level 3","210","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000000637","637","MAKATI MEDICAL CENTER","","","","Health Facility","Hospital","Private","","","2 AMORSOLO STREET, LEGASPI VILLAGE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF MAKATI","1380300000","SAN LORENZO","1380300025","","+63 0288888999","+63 0288400737","+63 0288925593","QualityManagementDivision@makatimed.net","Medical.Director@makati.net.ph","www.makatimed.net.ph","Level 3","600","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000005688","5688","MANDALUYONG CITY MEDICAL CENTER","MANDALUYONG MEDICAL CENTER","","","Health Facility","Hospital","Government","Local Government Unit","","605 BONI AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","CITY OF MANDALUYONG","1380500000","PLAINVIEW","1380500022","","+63 0286544363","+63 0285322781","","mandaluyongcitymedicalcenter@yahoo.com","mcmc.mandaluyong@gmail.com","","Level 2","150","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000005738","5738","MANILA CENTRAL UNIVERSITY - DR. FILEMON D. TANCHOCO, SR. MEDICAL FOUNDATION, INC.","MCU-FDT MEDICAL FOUNDATION HOSPITAL","","","Health Facility","Hospital","Private","","","SAMSON ROAD, EDSA","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, THIRD DISTRICT (NOT A PROVINCE)","1375000000","CITY OF CALOOCAN","1380100000","BARANGAY 81","1380100081","","+63 0283672031","+63 0283654868","+63 023614664","mcu_directorsoffice@yahoo.com","","","Level 3","215","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000003999","3999","MANILA DOCTORS HOSPITAL","","","","Health Facility","Hospital","Private","","","667 UNITED NATIONS AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","ERMITA","1380608000","BARANGAY 667","1380608009","1000","+63 0285580888","","+63 025247376","www.maniladoctors.com.ph","","","Level 3","300","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000005304","5304","MANILA NAVAL HOSPITAL","","","","Health Facility","Hospital","Government","Department of National Defense","","NAVAL STATION, JOSE FRANCISCO","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","137600000","CITY OF TAGUIG","138150000","FORT BONIFACIO","1381500020","","+63 0288928261","+63 0289356629","","mnhoperations.h3@gmail.com","mnh.operation@gmail.com","","Level 1","65","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000036392","36392","MARIKINA DOCTORS HOSPITAL AND MEDICAL CENTER, INC.","","","","Health Facility","Hospital","Private","","","10 EVANGELISTA ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","137400000","CITY OF PASIG","138120000","SANTOLAN","1381200027","1610","+63 025353873","+63 025353934","","mdhmc.902@gmail.com","","","Level 1","54","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000005205","5205","MARIKINA ST. VINCENT GENERAL HOSPITAL, INC.","ST. VINCENT HOSPITAL","","","Health Facility","Hospital","Private","","","35 BAYAN-BAYANAN AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","CITY OF MARIKINA","1380700000","CONCEPCION UNO","1380700003","","+63 0289480315","+63 0289480314","+63 0289417320","","","","Level 2","90","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000000648","648","MARIKINA VALLEY MEDICAL CENTER","","","","Health Facility","Hospital","Private","","","SUMULONG HIGHWAY, COR. AGUINALDO STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","CITY OF MARIKINA","1380700000","SANTO NI?O","1380700010","","+63 0286822222","+63 0286813398","+63 026823399","marikina_vmc@yahoo.com","info@mvmc.com.ph","","Level 2","110","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000005081","5081","MARTINEZ MEMORIAL HOSPITAL, INC.","","","","Health Facility","Hospital","Private","","","198 A. MABINI STREET MAYPAJO","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, THIRD DISTRICT (NOT A PROVINCE)","1375000000","CITY OF CALOOCAN","1380100000","BARANGAY 32","1380100032","","+63 0282888661","+63 0282884574","","martinezmemorialhospital@yahoo.com","","","Level 1","33","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000000650","650","MARY CHILES GENERAL HOSPITAL, INC.","","","","Health Facility","Hospital","Private","","","667 GASTAMBIDE STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","SAMPALOC","1380606000","BARANGAY 404","1380606010","1008","+63 0287355341","","+63 027355437","mcghcoor_21@yahoo.com","","","Level 3","100","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000006037","6037","MARY JOHNSTON HOSPITAL, INC.","","","","Health Facility","Hospital","Private","","","1221 JUAN NOLASCO STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","TONDO I/II","1380601000","BARANGAY 47","1380601047","1012","+63 0282454021","","+63 0282474077","maryjohnstonhospital@yahoo.com.ph","","","Level 3","120","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000000655","655","MEDICAL CENTER MANILA INC.","MEDICAL CENTER MANILA","","","Health Facility","Hospital","Private","","","850 UNITED NATIONS AVE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","ERMITA","1380608000","BARANGAY 666","1380608008","1000","+63 0285238131","+63 0285223799","+63 025243440","directors_office@manilamed.com.ph","mcm_directorsoffice@yahoo.com","","Level 3","200","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000002245","2245","MEDICAL CENTER MUNTINLUPA, INC","","","","Health Facility","Hospital","Private","","","38 NATIONAL ROAD","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF MUNTINLUPA","1380800000","PUTATAN","1380800006","","+63 028620162","","+63 028611687","mcmincoffice@gmail.com","","","Level 2","95","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000033842","33842","MEDICAL CENTER OF TAGUIG CITY, INC.","","","","Health Facility","Hospital","Private","","","LEVI MARIANO AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF TAGUIG","1381500000","USUSAN","1381500016","1632","+63 0288886284","+63 0283990494","+63 028886284","mctaguig@gmail.com","","","Level 2","50","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000000656","656","MEDICAL CENTER PARAÑAQUE, INC.","","","","Health Facility","Hospital","Private","","","DR. A. SANTOS AVENUE, SUCAT","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF PARA?AQUE","1381000000","SAN ANTONIO","1381000012","","5318-9999","","+63 028262121","merza_lapat@yahoo.com","mcpi.directorsoffice@gmail.com","","Level 1","56","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000030973","30973","METRO NORTH MEDICAL CENTER AND HOSPITAL INC.","","","","Health Facility","Hospital","Private","","","1001 MINDANAO AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","QUEZON CITY","1381300000","BAHAY TORO","1381300012","","+63 0284268000","","+63 0284268000","metronorthmedicalcenter@yahoo.com","","","Level 2","80","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000003281","3281","METROPOLITAN MEDICAL CENTER","","","","Health Facility","Hospital","Private","","","1357 G. MASANGKAY STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","TONDO I/II","1380601000","BARANGAY 262","1380601263","1012","+63 022554111","+63 022547356","+63 022547356","kstan@metromedicalcenter.ph","","","Level 3","300","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000003626","3626","MISSION HOSPITAL","MEDICAL MISSION GROUP METRO MANILA EAST HOSPITAL &amp; HEALTH SERVICES COOPERATIVE","","","Health Facility","Hospital","Private","","","KM. 17 ORTIGAS AVENUE EXTENSION","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","CITY OF PASIG","1381200000","ROSARIO","1381200017","","8656-2851","+63 0286554337","+63 0286560877","mission.hospital98@yahoo.com","mission_hospital98@yahoo.com","","Level 1","30","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000007359","7359","NATIONAL CENTER FOR MENTAL HEALTH","","","","Health Facility","Hospital","Government","Department Of Health","","9 DE PEBRERO STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","CITY OF MANDALUYONG","1380500000","MAUWAY","1380500017","","+63 025319001","","+63 025318682","mcc@mcmh@gmail.com","","","Level 3","4,200","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000006046","6046","NATIONAL CHILDREN'S HOSPITAL","","","","Health Facility","Hospital","Government","Department Of Health","","264 E. RODRIGUEZ SR. BOULEVARD","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","QUEZON CITY","1381300000","DAMAYANG LAGI","1381300028","","+63 0287240656","","+63 0287219139","nch.doh@gmail.com","","","Level 3","250","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000001981","1981","NATIONAL KIDNEY AND TRANSPLANT INSTITUTE","","","","Health Facility","Hospital","Government","Department Of Health","","EAST AVENUE, DILIMAN","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","QUEZON CITY","1381300000","CENTRAL","1381300020","","+63 029810330","+63 029240701","+63 029225608","pro@nkti.gov.p","","WWW.NKTI.GOV.PH","Level 3","315","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000033794","33794","NAVOTAS CITY HOSPITAL","","","","Health Facility","Hospital","Government","Local Government Unit","","M. NAVAL STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, THIRD DISTRICT (NOT A PROVINCE)","1375000000","CITY OF NAVOTAS","1380900000","SAN JOSE (POB.)","1380900010","1485","8866-7520","+63 023740135","+63 022830697","navotascityhospital@gmail.com","chezcagarcia@gmail.com","","Level 1","50","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000006502","6502","NODADO GENERAL HOSPITAL","","","","Health Facility","Hospital","Private","","","CAPTAIN SAMANO STREET AREA A, CAMARIN","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (NOT A PROVINCE)","137500000","CITY OF CALOOCAN","138010000","BARANGAY 175","1380100175","","82414446","71173026","+63 029627991","hrd.nodadogen@gmail.com","","","Level 1","40","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000005050","5050","NORTH CALOOCAN DOCTORS HOSPITAL, INC.","","","","Health Facility","Hospital","Private","","","LOT 31 BLOCK 10 BANKERS VILLAGE 2 QUIRINO HI-WAY","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (NOT A PROVINCE)","137500000","CITY OF CALOOCAN","138010000","BARANGAY 184","1380100184","","+63 029615213","","","ncdhi@yahoo.com","","","Level 1","29","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000007515","7515","NOVALICHES DISTRICT HOSPITAL","","","","Health Facility","Hospital","Government","Local Government Unit","","QUIRINO HIGHWAY","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","QUEZON CITY","1381300000","SAN BARTOLOME","1381300097","","89310312","+63 0274177233","+63 024177233","NDH@quezoncity.gov.ph","ndhpersonnel@ymail.com","","Level 1","30","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000007516","7516","NOVALICHES GENERAL HOSPITAL, INC.","","","","Health Facility","Hospital","Private","","","793 QUIRINO HIGHWAY","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","QUEZON CITY","1381300000","GULOD","1381300043","","+63 0289381449","+63 0289361817","+63 024185074","nghi@novagen.com.ph","info@novagen.com.ph","","Level 2","60","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000002174","2174","OLIVAREZ GENERAL HOSPITAL, INC.","","","","Health Facility","Hospital","Private","","","DR. A. SANTOS AVENUE, SUCAT ROAD","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF PARA?AQUE","1381000000","SAN DIONISIO","1381000004","","88267966","+63 0288265035","","olivarezgenhospital.com","hrdepartment@olivarezgenhospital.com","","Level 1","50","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000005830","5830","OSPITAL NG MAKATI","","","","Health Facility","Hospital","Government","Local Government Unit","","SAMPAGUITA STREET CORNER GUMAMELA STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF MAKATI","1380300000","PEMBO","1380300016","","+63 028826316","","+63 028826375","osmak.qa@gmail.com","osmakqualityassurance@yahoo.com.ph","","Level 3","300","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000035563","35563","OSPITAL NG MALABON","","","","Health Facility","Hospital","Government","","","F. SEVILLA BOULEVARD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (NOT A PROVINCE)","137500000","CITY OF MALABON","138040000","TA?ONG (POB.)","1380400018","1470","+63 025188602","","","ospitalngmalabon@yahoo.com","","","Level 1","34","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000003498","3498","OSPITAL NG MAYNILA MEDICAL CENTER","","","","Health Facility","Hospital","Government","Local Government Unit","","PRES. QUIRINO AVENUE, CORNER ROXAS BOULEVARD","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","MALATE","1380610000","BARANGAY 700","1380610015","1004","+63 025246063","+63 025246064","+63 025218490","ommc_a@yahoo.com","ospitalngmaynilamedicalcenter@yahoo.com","","Level 3","300","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000003499","3499","OSPITAL NG MUNTINLUPA","","","","Health Facility","Hospital","Government","Local Government Unit","","CIVIC DRIVE FILINVEST CORPORATE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF MUNTINLUPA","1380800000","ALABANG","1380800001","","+63 0287710457","","+63 0287710464","","","","Level 3","149","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000002995","2995","OSPITAL NG PARAÑAQUE","FLORENCIO V. BERNABE SR. MEMORIAL HOSPITAL","PARANAQUE COMMUNITY HOSPITAL","","Health Facility","Hospital","Government","Local Government Unit","","0440 QUIRINO AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","137600000","CITY OF PARA?AQUE","138100000","LA HUERTA","1381000003","","8825-4902","+63 028254904","+63 028257714","ospar.adm100880@gmail.com","ospitalngparanaque@yahoo.com","","Level 1","50","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000045739","45739","OSPITAL NG PARAÑAQUE DISTRICT II","","","","Health Facility","Hospital","Government","Local Government Unit","","NO. 187 TAIWAN STREET EXTENSION CORNER DONA SOLEDAD AVE.","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF PARA?AQUE","1381000000","DON BOSCO","1381000008","","8234-5459","","","mdao08012022@gmail.com","","","Level 1","70","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000003500","3500","OSPITAL NG SAMPALOC","","","","Health Facility","Hospital","Government","Local Government Unit","","677 GERONIMO CORNER CAROLA STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","SAMPALOC","1380606000","BARANGAY 449","1380606055","1008","(02)87813001","+63 027490223","+63 027490207","ospitalngsampaloc1994@gmail.com","","","Level 1","50","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000006888","6888","OSPITAL NG TONDO","","","","Health Facility","Hospital","Government","Local Government Unit","","JOSE ABAD SANTOS AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","TONDO I/II","1380601000","BARANGAY 215","1380601216","1012","82523942","+63 022523942","","oston@manila.gov.ph","ospitalngtondo_ont@yahoo.com","","Level 1","50","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
"DOH000000000005484","5484","OUR LADY OF GRACE HOSPITAL, INC.","","","","Health Facility","Hospital","Private","","","8TH AVENUE, CORNER F. ROXAS STREET GRACE PARK","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (NOT A PROVINCE)","137500000","CITY OF CALOOCAN","138010000","BARANGAY 61","1380100061","","+63 0283611138","+63 0283611124","+63 023611138","ourladyofgrace.hospital@yahoo.com","","","Level 1","28","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000012505","12505","OUR LADY OF LOURDES HOSPITAL","","","","Health Facility","Hospital","Private","","","46 P. SANCHEZ STREET, SANTA MESA","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","SAMPALOC","1380606000","BARANGAY 606","1380606213","","+63 0287168001","+63 0282523942","+63 027147153","marketing@ollh.ph","","www.ollh-manila.com","Level 3","230","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000029741","29741","PACIFIC GLOBAL MEDICAL CENTER, INC.","","","","Health Facility","Hospital","Private","","","LOT 2B, MINDANAO AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","QUEZON CITY","1381300000","TALIPAPA","1381300119","","+63 0289014941","+63 0283581174","+63 0286259629","pgmcinc@yahoo.com","","","Level 2","100","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000047808","47808","PAMPLONA HOSPITAL AND MEDICAL CENTER INC.","","","","Health Facility","Hospital","Private","","","46 ZAPOTE-ALABANG ROAD","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","CITY OF LAS PI?AS","1380200000","PAMPLONA UNO","1380200006","1740","+63 0282554802","","","hrd@pamplonamed.com","","","Level 2","101","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2023"
"DOH000000000000699","699","PASAY CITY GENERAL HOSPITAL","","","","Health Facility","Hospital","Government","Local Government Unit","","P. BURGOS STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, FOURTH DISTRICT (NOT A PROVINCE)","1376000000","PASAY CITY","1381100000","BARANGAY 60","1381100060","1304","+63 028336022","+63 028313285","+63 025513735","pcgh.coh@gmail.com","","","Level 3","150","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000029735","29735","PASIG CITY CHILDREN'S HOSPITAL CHILD'S HOPE","CHILDS HOPE/PASIG CITY CHILDRENS HOSPITAL","","","Health Facility","Hospital","Government","Local Government Unit","","INDUSTRIA STREET CORNER ALCALDE JOSE STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","CITY OF PASIG","1381200000","KAPASIGAN","1381200008","","+63 026432222","","","","","","Level 2","64","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000000700","700","PASIG CITY GENERAL HOSPITAL","","","","Health Facility","Hospital","Government","Local Government Unit","","M. EUSEBIO AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","CITY OF PASIG","1381200000","MAYBUNGA","1381200012","","+63 022737981","+63 026433333","+63 026427380","pasigcitygen@yahoo.com.ph","","www.pasigcitygen.org","Level 3","200","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000035564","35564","PASIG DOCTORS MEDICAL CENTER, INC.","","","","Health Facility","Hospital","Private","","","254 AMANG RODRIGUEZ AVENUE","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, SECOND DISTRICT (NOT A PROVINCE)","1374000000","CITY OF PASIG","1381200000","MANGGAHAN","1381200011","1611","+63 029972791","+63 028787362","","pdmc.secretariat@yahoo.com","pdmc.jayr@gmail.com","","Level 2","80","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>",""
"DOH000000000000711","711","PERPETUAL SUCCOR HOSPITAL &amp; MATERNITY, INC.","","","","Health Facility","Hospital","Private","","","836 FLORENTINO CAYCO STREET","","NATIONAL CAPITAL REGION (NCR)","1300000000","NCR, CITY OF MANILA, FIRST DISTRICT (NOT A PROVINCE)","1380600000","SAMPALOC","1380606000","BARANGAY 457","1380606063","1008","+63 0287311631","+63 0287311632","+63 0287311633","perpetual.succor@yahoo.com","","","Level 1","65","<b>Licensing Status:</b><br><span class=' btn-success'>With License</span>","12/31/2022"
